Account ID,SSN,Account Type,Current Balance,ID of backup Accounts for overdraft protection,Overdrafts this month,Date Created
1,423453245,Gold,4517.75,FALSE,9,09/3/2010
2,345653425,Gold,758.92,FALSE,4,06/3/2011
3,423148894,TMB,2438.37,FALSE,1,06/24/2011
4,677879013,TMB,1102.73,FALSE,4,01/12/2012
5,345599870,TMB,4095.01,FALSE,3,02/28/2013
6,423567890,TMB,843.83,FALSE,0,04/25/2015
7,345812332,TMB,4372.21,FALSE,0,06/29/2015
8,345879912,TMB,7845.27,FALSE,1,07/05/2015
9,423168945,TMB,29.99,FALSE,2,11/01/2015
10,235445789,TMB,4778.64,FALSE,0,03/02/2017
11,436789213,TMB,1276.22,FALSE,0,12/04/2017
12,233435656,TMB,680.08,FALSE,0,07/17/2018
13,435678787,TMB,4823.19,FALSE,1,07/30/2020
14,563432913,TMB,3666.9,FALSE,0,07/17/2021
15,345679898,TMB,428.16,FALSE,0,12/29/2021
